inst#,date,actual,simple_model,full_model
126,1959/6/1,472,472.3261,467.0031
127,1959/7/1,548,530.8138,522.6271
128,1959/8/1,559,545.4357,538.5005
129,1959/9/1,463,439.949,396.124
130,1959/10/1,407,392.9499,359.8459
131,1959/11/1,362,341.7732,294.9508
132,1959/12/1,405,369.9726,339.916
133,1960/1/1,417,393.9944,344.0249
134,1960/2/1,391,375.1948,300.1381
135,1960/3/1,419,442.0378,381.8416
136,1960/4/1,461,431.5936,355.4565
137,1960/5/1,472,456.6598,428.8856
138,1960/6/1,535,510.9698,488.8569
139,1960/7/1,622,590.3459,588.6901
140,1960/8/1,606,601.8346,571.2014
141,1960/9/1,508,501.57,440.8769
142,1960/10/1,461,443.0823,369.2262
143,1960/11/1,390,396.0832,336.3136
144,1960/12/1,432,440.9934,358.9307
